DATE,NCBEILQ027S_BCNSDODNS_CMDEBT_FGSDODNS_SLGSDODNS_FBCELLQ027S_DODFFSWCMI
1945-10-01,0.30470669648677651967
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,0.30129927620324229505
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,0.28964593840918929258
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,0.28154279405600392016
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,0.28748880195470449368
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,0.30421687266579839398
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,0.31818474454058508447
1952-01-01,0.31822255461622692833
1952-04-01,0.32046955562335697137
1952-07-01,0.31619721101566478518
1952-10-01,0.30188075634355373710
1953-01-01,0.29441967609687311008
1953-04-01,0.28119145747470962907
1953-07-01,0.27219665167680509001
1953-10-01,0.28622699314489623439
1954-01-01,0.29705354099290455088
1954-04-01,0.31109202662008568566
1954-07-01,0.32697869255246304427
1954-10-01,0.32558369921856425050
1955-01-01,0.32897338265017067722
1955-04-01,0.34491453666275832657
1955-07-01,0.35392577205038708197
1955-10-01,0.35215309412178676380
1956-01-01,0.36308676728749649420
1956-04-01,0.35429176600100563317
1956-07-01,0.34765012130017059833
1956-10-01,0.36047552362738371042
1957-01-01,0.34657312953988319156
1957-04-01,0.35897413311870270318
1957-07-01,0.33582234759145974556
1957-10-01,0.33438407522417690022
1958-01-01,0.34315778692097142558
1958-04-01,0.35188751253171967483
1958-07-01,0.37114319187420034180
1958-10-01,0.37476500297176673263
1959-01-01,0.37577480343130011432
1959-04-01,0.37985735075372316805
1959-07-01,0.37177961137803157718
1959-10-01,0.38106300546932309933
1960-01-01,0.36550630271186252134
1960-04-01,0.36744004967254233517
1960-07-01,0.34943393215350728252
1960-10-01,0.37222669130061967946
1961-01-01,0.39433266136700772127
1961-04-01,0.39176190484169044479
1961-07-01,0.39394623768946237689
1961-10-01,0.40725721192535763765
1962-01-01,0.39885512142245167480
1962-04-01,0.33291744251271583312
1962-07-01,0.34271341353426353884
1962-10-01,0.38440044700860822745
1963-01-01,0.39417702785143214709
1963-04-01,0.40128584985620214284
1963-07-01,0.40830073358281279844
1963-10-01,0.39373698258557248872
1964-01-01,0.40477496972354967369
1964-04-01,0.40830385578448402292
1964-07-01,0.41252158281889354053
1964-10-01,0.41313828873267988115
1965-01-01,0.41497309005608997096
1965-04-01,0.40178613930007863786
1965-07-01,0.41914753244287121084
1965-10-01,0.42841537816773514934
1966-01-01,0.41732788245679968617
1966-04-01,0.40320042718143134195
1966-07-01,0.37498727738489252303
1966-10-01,0.38803382003652639647
1967-01-01,0.41397593156056781578
1967-04-01,0.41548406704520866150
1967-07-01,0.42636590649894644909
1967-10-01,0.42631235031762715103
1968-01-01,0.40565397496451535178
1968-04-01,0.43315658797497336989
1968-07-01,0.43290624140243586973
1968-10-01,0.45253398693109329773
1969-01-01,0.43629914716410011189
1969-04-01,0.42310787499988262106
1969-07-01,0.41234040149146924786
1969-10-01,0.39626802955458966958
1970-01-01,0.38470028843133335237
1970-04-01,0.32872834217761012723
1970-07-01,0.35936659250672599462
1970-10-01,0.37784347073873424774
1971-01-01,0.39794724821137335922
1971-04-01,0.39195907074032694899
1971-07-01,0.38461237321513980164
1971-10-01,0.39536110939660658907
1972-01-01,0.40440160019488036971
1972-04-01,0.39938594595606677750
1972-07-01,0.40033129665894836779
1972-10-01,0.42493965666199358357
1973-01-01,0.40001780185450457475
1973-04-01,0.37626560106795622971
1973-07-01,0.38676623514111887424
1973-10-01,0.34365710401832616758
1974-01-01,0.33299805409943529714
1974-04-01,0.30403343225691825178
1974-07-01,0.24194440550184601307
1974-10-01,0.24491149921044568573
1975-01-01,0.28073182892612171497
1975-04-01,0.30582318175248938862
1975-07-01,0.27381326504466933649
1975-10-01,0.28211719555870759452
1976-01-01,0.30678439550951848063
1976-04-01,0.30497785034746478360
1976-07-01,0.30193937089823863590
1976-10-01,0.30362435228631929748
1977-01-01,0.28198453923327946545
1977-04-01,0.28255250782406859667
1977-07-01,0.26754967605426447713
1977-10-01,0.25627617089890130322
1978-01-01,0.24050734221144223926
1978-04-01,0.24833951354860587812
1978-07-01,0.25651786440964235972
1978-10-01,0.24186980995317979645
1979-01-01,0.24856137963272803757
1979-04-01,0.24726601612017114304
1979-07-01,0.25288980992604617893
1979-10-01,0.25250706549307944011
1980-01-01,0.23490295327854772142
1980-04-01,0.25536022837614463709
1980-07-01,0.27303721498363053315
1980-10-01,0.28669836548246422520
1981-01-01,0.28394591451890657081
1981-04-01,0.27491305667455053049
1981-07-01,0.24256636575600470350
1981-10-01,0.25134413871588852856
1982-01-01,0.22689876496988646842
1982-04-01,0.21878000901734374817
1982-07-01,0.23081821955200360198
1982-10-01,0.25601668022385011527
1983-01-01,0.27042314266064212074
1983-04-01,0.28767271806089796792
1983-07-01,0.27763198828696581241
1983-10-01,0.26737729116930111500
1984-01-01,0.24858663592692221054
1984-04-01,0.23210740047130662368
1984-07-01,0.23866425506084788064
1984-10-01,0.23520951760445197896
1985-01-01,0.24223974968705797893
1985-04-01,0.24636311811932165737
1985-07-01,0.22865591468900914384
1985-10-01,0.24942099270366770729
1986-01-01,0.26821914008321775312
1986-04-01,0.27042045881569111333
1986-07-01,0.24619472298955836060
1986-10-01,0.25772152368741059291
1987-01-01,0.29025652805373870460
1987-04-01,0.28932789729251050823
1987-07-01,0.29522836611891006713
1987-10-01,0.24209785062721818129
